plot,trt_density,trt,date_marked,date_collected,shoot,growth_days,shoot_length,shoot_width,sheath_length,sheath_width,ref_length,no_blades,repro,lf1_full,lf1_new,lf2_full,lf2_new,lf3_full,lf3_new,lf4_full,lf4_new,lf5_full,lf5_new,lf6_full,lf6_new,lf7_full,lf7_new,lf8_full,lf8_new,lf9_full,lf9_new,bblf_1,bblf_2,bblf_3,shoot_wet_wt,foil_wt,shoot_dry_wt,shoot_biomass,total_lf_ext,rgr,rgr_d,internode1,internode2,internode3,internode4,internode5,internode6,internode7,internode8,internode9,internode10,internode11,internode12,internode13,internode14,internode15,internode16,internode17,internode18,internode19,internode20,internode21,internode22,internode23
6,high,exp,05-Sep-25,16-Sep-25,1,11,77,0.8,19,0.5,7.6,5,No,42.8,33.7,39.5,25,61.5,0,69.2,0,39.2,0,0,0,0,0,0,0,0,0,4.1,0,0,,,,,58.7,3.09,0.28,0.8,0.6,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,high,exp,05-Sep-25,16-Sep-25,1,11,97,0.6,22,0.6,9.3,5,No,66,0,71.3,1.6,88,5,88.9,37.5,38.5,38.5,0,0,0,0,0,0,0,0,0,0,0,,,,,82.6,3.75,0.34,0.6,1.2,1.5,1.8,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,high,exp,05-Sep-25,16-Sep-25,2,11,100,0.6,20.9,0.5,5.5,5,No,52.2,43.5,94.2,36,75.5,47,95,0,38,0,0,0,0,0,0,0,0,0,5,0,0,,,,,126.5,6.05,0.55,1.5,1.2,1.4,1.8,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,low,exp,05-Sep-25,16-Sep-25,3,11,82.5,0.5,13.2,0.5,10,4,No,40.7,36.3,60.4,20,73.1,15.3,49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,2.5,0.7,,71.6,5.42,0.49,0.6,0.9,1,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,low,exp,05-Sep-25,16-Sep-25,1,11,81.5,0.5,10,0.5,5.7,4,No,41.2,28.4,56.5,12.6,46.7,15.2,76.4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2,3.05,1.05,67.3,6.73,0.61,0.5,0.6,0.7,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,low,exp,05-Sep-25,16-Sep-25,2,11,61.5,0.5,11.8,0.5,7.9,5,No,45.7,33.7,37.1,16.2,27.5,0,54.6,0,57.9,7.4,0,0,0,0,0,0,0,0,0,0,0,4.8,0.7,,,57.3,14.69,1.34,0.6,1.5,0.8,0.9,1.2,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,low,exp,05-Sep-25,16-Sep-25,1,11,112.8,0.7,24.4,0.8,7.7,5,No,58.2,29.1,101.4,15.4,88.8,1.4,77.1,0,77.4,0,0,0,0,0,0,0,0,0,0,0,0,13.5,2.5,,,45.9,1.88,0.17,0.9,1,1.7,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,low,exp,05-Sep-25,16-Sep-25,2,11,84.5,0.7,19,0.7,6.4,5,No,31.3,28.7,69.4,19.5,66.2,2.3,63.9,0,65.6,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0.8,,,50.5,2.66,0.24,1.5,1.6,1.6,1.5,1.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,low,exp,05-Sep-25,16-Sep-25,3,11,87.8,0.7,24.5,0.7,3.9,6,No,58.4,35.5,48.6,25.9,74.8,2.9,83.1,0.7,73.6,0,62.9,0,0,0,0,0,0,0,0,0,0,12.3,2.1,,,65,2.65,0.24,0.6,1.3,1.8,2.6,2.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,low,exp,05-Sep-25,16-Sep-25,1,11,85.5,0.6,23.2,0.8,10.5,5,No,8.2,0,76.4,20.6,51.9,16.2,57.3,2.6,37.3,0.4,0,0,0,0,0,0,0,0,0,0,0,7.7,2.9,5.02,2.12,39.8,1.72,0.16,0.9,1.2,1.8,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
