"","plot","Treatment","Trt_density","sept_5_density1","sept_5_density_exp","sept_6_density","sept_6_quadrat","sept_6_zj","sept_6_macro","sept_6_detritus","sept_16_density","sept_16_macro","sept_16_detritus","sept_16_zj","Trt.comb","density_diff","shoot","growth_days","shoot_length","shoot_width","sheath_length","ref_length","no_blades","repro","lf1_full","lf1_new","lf2_full","lf2_new","lf3_full","lf3_new","lf4_full","lf4_new","lf5_full","lf5_new","lf6_full","lf6_new","lf7_full","lf7_new","lf8_full","lf8_new","lf9_full","lf9_new","bblf_1","bblf_2","bblf_3","shoot_wet_wt","foil_wt","shoot_dry_wt","shoot_biomass","internode1","internode2","internode3","internode4","internode5","internode6","internode7","internode8","internode9","internode10","internode11","internode12","internode13","internode14","internode15","internode16","internode17","internode18","internode19","internode20","internode21","internode22","internode23","bblf_count","no_leaves","no_rhiz_int","Total_extension"
"16","7","low","exp",90,50,65,13,0,5,10,52,10,20,0,"exp_low",-13,1,11,81.5,0.5,10,5.7,4,"No",41.2,28.4,56.5,12.6,46.7,15.2,76.4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2,3.05,1.05,0.5,0.6,0.7,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,73
"17","7","low","exp",90,50,65,13,0,5,10,52,10,20,0,"exp_low",-13,2,11,61.5,0.5,11.8,7.9,5,"No",45.7,33.7,37.1,16.2,27.5,0,54.6,0,57.9,7.4,0,0,0,0,0,0,0,0,0,0,0,4.8,0.7,0,0,0.6,1.5,0.8,0.9,1.2,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,65.2
"18","8","low","exp",83,50,57,22,1,8,5,56,6,15,1,"exp_low",-1,1,11,112.8,0.7,24.4,7.7,5,"No",58.2,29.1,101.4,15.4,88.8,1.4,77.1,0,77.4,0,0,0,0,0,0,0,0,0,0,0,0,13.5,2.5,0,0,0.9,1,1.7,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,53.6
"19","8","low","exp",83,50,57,22,1,8,5,56,6,15,1,"exp_low",-1,3,11,87.8,0.7,24.5,3.9,6,"No",58.4,35.5,48.6,25.9,74.8,2.9,83.1,0.7,73.6,0,62.9,0,0,0,0,0,0,0,0,0,0,12.3,2.1,0,0,0.6,1.3,1.8,2.6,2.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,68.9
"20","9","low","exp",88,50,24,8,0,0,5,27,4,3,0,"exp_low",3,1,11,85.5,0.6,23.2,10.5,5,"No",8.2,0,76.4,20.6,51.9,16.2,57.3,2.6,37.3,0.4,0,0,0,0,0,0,0,0,0,0,0,7.7,2.9,5.02,2.12,0.9,1.2,1.8,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,50.3
"21","9","low","exp",88,50,24,8,0,0,5,27,4,3,0,"exp_low",3,1,11,91.9,0.6,19.5,8.1,6,"No",25.2,25.2,70.5,46.5,84.3,20.5,77.4,2.5,12,0,18.2,0.1,0,0,0,0,0,0,0,0,0,7,1.58,0,0,1,1.4,1.5,1.7,1.7,2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,102.9
"22","10","high","control",100,120,101,27,0,15,15,86,20,20,0,"control_high",-15,1,11,113.5,0.8,25,6,6,"No",21.3,21.3,67.4,40.1,107.3,25.1,94.4,1.7,81,0.6,10.5,0.4,0,0,0,0,0,0,0,0,0,12.1,2.9,4.5,1.6,1.1,1.1,1.5,1.5,1.7,2.1,1.6,1.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,95.2
"23","11","high","control",100,100,77,18,0,3,15,52,1,10,1,"control_high",-25,1,11,81.2,0.7,41.9,23.5,4,"No",35,35,76.1,29.3,71.4,4.9,81.4,24.1,0,0,0,0,0,0,0,0,0,0,35,0,0,3.9,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,151.8
"24","11","high","control",100,100,77,18,0,3,15,52,1,10,1,"control_high",-25,2,11,68.9,0.5,17.5,5.6,4,"No",41.5,35.5,63.5,23,49.6,0,57,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,1,0.9,0.8,0.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,71.4
"25","12","high","exp",100,90,78,29,0,0,6,119,0,50,0,"exp_high",41,3,11,50,0.5,12,15.5,3,"No",14,14,44.2,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.5,4.6,1.1,2,1.5,2,2,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,51.5
