"","treatment","mean_temp","min_temp","max_temp","sd_temp","mean_lux","min_lux","max_lux","sd_lux","n_obs"
"1","control_high",15.9127892435505,12.11,26.097,1.33909919324543,2132.02834280717,0.2,176356.7,8658.17003778285,2287
"2","control_low",15.9175624670532,11.916,28.65,1.47411226501117,3495.1240010543,0.18,93689.5,8081.8763923082,1897
"3","exp_high",15.7526293995859,12.18,23.55,1.20982040401416,1438.30120600414,0.21,24913.92,2205.48235375999,1932
"4","exp_low",15.8865992954646,11.916,27.961,1.46659731497745,3240.84359313078,10.8,187379,11363.309661353,2271
